#  i    j    k  func       th0       cth
  CT     CT     HC      1   110.700    313.800   
  CT     CT_3   HC      1   110.700    313.800   
  CT_3   CT     HC      1   110.700    313.800   
  CT     CT_4   HC      1   110.700    313.800   
  CT     CT     N       1   109.700    669.440   
  CT     CT_2   N       1   109.700    669.440   
  CT     CT_3   N       1   109.700    669.440   
  CT     CT_3   NT      1   109.700    669.440   
  CT     CT     N*      1   109.500    418.400   
  CT     CT     N2      1   111.200    669.440   
  C      CT     N3      1   111.200    669.440   
  C_2    CT     N3      1   111.200    669.440   
  C_3    CT     N3      1   111.200    669.440   
  C      CT_2   N3      1   111.200    669.440   
  C_2    CT_2   N3      1   111.200    669.440   
  C_3    CT_2   N3      1   111.200    669.440   
  C      CT     NT      1   111.200    669.440   
  C      CT_2   NT      1   111.200    669.440   
  C_2    CT     NT      1   111.200    669.440   
  C_3    CT     NT      1   111.200    669.440   
  CA     CT     N       1   109.700    669.440   
  CA     CT     NT      1   111.200    669.440   
  CA     CT     NA      1   111.200    669.440   
  CT     CT     NA      1   111.200    669.440   
  CT     CA     N       1   109.700    669.440   
  CT     CT     N3      1   111.200    669.440   
  CT     CT_2   N3      1   111.200    669.440   
  CT     CT_3   N3      1   111.200    669.440   
  CT     CT     OH      1   109.500    418.400   
  CT_2   CT     OH      1   109.500    418.400   
  CT     CT_4   OH      1   109.500    418.400   
  CA     CT     OH      1   109.500    418.400   
  CT     CT     OS      1   109.500    418.400   
  CA     CT     OS      1   109.500    418.400   
  CT     CT     S       1   114.700    418.400   
  CT_2   CT     S       1   114.700    418.400   
  CT     CT     SH      1   108.600    418.400   
  CT_2   CT     SH      1   108.600    418.400   
  CA     CT     S       1   114.700    418.400   
  CW     CT     S       1   114.700    418.400   
  CT     NT     H       1   109.500    292.880   
  CT_3   NT     H       1   109.500    292.880   
  CT_2   NT     H       1   109.500    292.880   
  CA     NT     H       1   111.000    292.880   
  CA     NT     CT      1   109.500    418.400   
  CT     NT     CT      1   107.200    433.462   
  CT     NT     C3      1   107.200    433.462   
  C3     NT     C3      1   107.200    433.462   
  HC     CT     HC      1   107.800    276.144   
  HC     CT_2   HC      1   107.800    276.144   
  HC     CT_3   HC      1   107.800    276.144   
  HC     CT_4   HC      1   107.800    276.144   
  CY     CY     HC      1   117.200    313.800   
  CY     CY     CY      1    60.000    251.040   
  CY     CY     CT      1   117.200    313.800   
  CY     CT     HC      1   110.700    313.800   
  HC     CY     HC      1   114.300    292.880   
  HC     CY     CT      1   114.300    292.880   
  CY     CY     NC      1    89.000    669.440   
  HC     CY     NC      1   109.500    292.880   
  HC     CY     N       1   108.000    292.880   
  CY     CY     N       1   126.000    313.800   
  HC     CY     S       1   108.000    313.800   
  CY     CY     S       1   128.000    460.240   
  CY     N      C       1   128.000    460.240   
  CY     N      H       1   113.000    334.720   
  CY     S      CT      1    94.000    518.816   
  HC     CT     N       1   109.500    292.880   
  HC     CT_2   N       1   109.500    292.880   
  HC     CT_3   N       1   109.500    292.880   
  HC     CT_3   NT      1   109.500    292.880   
  HC     CT     N*      1   109.500    292.880   
  HC     CT     NA      1   109.500    292.880   
  HC     CT     N2      1   109.500    292.880   
  HC     CT     N3      1   109.500    292.880   
  HC     CT_2   N3      1   109.500    292.880   
  HC     CT_3   N3      1   109.500    292.880   
  HC     CT     NT      1   109.500    292.880   
  HC     CT_2   NT      1   109.500    292.880   
  HC     CT     NC      1   109.500    292.880   
  HC     CT     OH      1   109.500    292.880   
  C      CT     OH      1   109.500    418.400   
  C_2    CT     OH      1   109.500    418.400   
  C_3    CT     OH      1   109.500    418.400   
  HC     CT_4   OH      1   109.500    292.880   
  HC     CT     OS      1   109.500    292.880   
  HC     CT     S       1   109.500    292.880   
  HC     CT     P       1   109.500    343.088   
  CT     CT     P       1   109.500    359.824   
  CA     CT     P       1   109.500    359.824   
  CT     CT     P+      1   109.500    359.824   
  CT     P+     CT      1   109.500    376.560   
  HC     CT     P+      1   109.500    343.088   
  HC     CT     SH      1   109.500    292.880   
  N*     CT     OS      1   109.500    418.400   
  CW     CW     NB      1   120.000    585.760   
  HA     CV     NB      1   120.000    292.880   
  C*     CW     HA      1   120.000    292.880   
  C*     CW     NA      1   108.700    585.760   
  H4     CW     NA      1   120.000    292.880   
  HA     CA     NA      1   120.000    292.880   
  C      N      C3      1   121.900    418.400   
  C      N      CT      1   121.900    418.400   
  C      N      CT_2    1   121.900    418.400   
  C      N      CT_3    1   121.900    418.400   
  C      N      CA      1   121.900    418.400   
  C      N      H       1   119.800    292.880   
  C3     N      H       1   118.400    317.984   
  CT     N      CT      1   118.000    418.400   
  CT_2   N      CT      1   118.000    418.400   
  CT_2   N      CT_2    1   118.000    418.400   
  CT_3   N      CT      1   118.000    418.400   
  CT_3   N      CT_2    1   118.000    418.400   
  CT_3   NT     CT_2    1   118.000    418.400   
  CA     N      CT      1   118.000    418.400   
  CA     NC     CT      1   118.000    418.400   
  CT     N      H       1   118.400    317.984   
  CT_2   N      H       1   118.400    317.984   
  CT_3   N      H       1   118.400    317.984   
  CT_3   N      H3      1   118.400    317.984   
  H      N      H       1   120.000    292.880   
  H      N2     H       1   113.000    292.880   
  H3     N      H3      1   120.000    292.880   
  C      N*     CM      1   121.600    585.760   
  C_2    N*     CM      1   121.600    585.760   
  C_3    N*     CM      1   121.600    585.760   
  C      NA     CM      1   121.600    585.760   
  C_2    NA     CM      1   121.600    585.760   
  C_3    NA     CM      1   121.600    585.760   
  C      N*     CT      1   117.600    585.760   
  C_2    N*     CT      1   117.600    585.760   
  C_3    N*     CT      1   117.600    585.760   
  C      N*     H       1   119.200    292.880   
  C_2    N*     H       1   119.200    292.880   
  C_3    N*     H       1   119.200    292.880   
  C3     N*     CB      1   125.800    585.760   
  C3     N*     CK      1   128.800    585.760   
  CM     N*     CT      1   121.200    585.760   
  CM     N*     H       1   119.200    292.880   
  CM     NA     H       1   119.200    292.880   
  C3     N2     CA      1   123.200    418.400   
  CA     N2     CA      1   123.200    418.400   
  CA     N2     CT      1   123.200    418.400   
  CA     N2     CX      1   123.200    418.400   
  N2     CX     NZ      1   180.000    585.760   
  CA     N2     H       1   120.000    292.880   
  CQ     N2     H       1   120.000    292.880   
  CA     N2     H3      1   120.000    292.880   
  CT     N2     H3      1   118.400    292.880   
  CT     N2     H       1   118.400    292.880   
  H3     N2     H3      1   120.000    292.880   
  C3     N3     H3      1   109.500    292.880   
