1048  4
#  i     j       k     l                  coefficients(Kcal/mol) 
  CT     CT     C      O        	    0.0000000000  	1.1660014340      0.0000000000       0.00000   
  CT_2   CT     C      O        	    0.0000000000  	1.1660014340      0.0000000000       0.00000   
  CT     CT     C      Cl       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CT     CT     C      HC       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CT     CT     C      OH       	    1.0000000000  	0.5459990440      0.4500000000       0.00000   
  CT_2   CT     C      OH       	    1.0000000000  	0.5459990440      0.4500000000       0.00000   
  CT     CT_2   C      OH       	    1.0000000000  	0.5459990440      0.4500000000       0.00000   
  CT     CT     C      OS       	    0.0000023901  	0.0000000000      -0.5529995220      0.00000   
  CT     CT     C      O_3      	    0.0000000000  	0.5459990440      0.0000000000       0.00000   
  CT_2   CT     C      O_3      	    0.0000000000  	0.5459990440      0.0000000000       0.00000   
  CT     CT_2   C      O_3      	    0.0000000000  	0.5459990440      0.0000000000       0.00000   
  CT_2   CT     C_3    O2       	    0.0000000000  	0.5459990440      0.0000000000       0.00000   
  CT     CT     N      H        	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CT     CT     N      CY       	    2.3000000000  	6.0890009560      0.0000000000       0.00000   
  CT     CT     N      SY       	    2.9290033461  	-2.5329995220      0.4970004780      0.00000   
  CT     CT     S      S        	    1.9409990440  	-0.8359990440      0.9350000000      0.00000   
  CT     CT     S      CT       	    0.9250023901  	-0.5760014340      0.6770004780      0.00000   
  CT     CT     C*     CW       	    -0.7140009560  	0.0000000000      0.0000000000       0.00000   
  CT_2   CT     C*     CW       	    -0.7140009560  	0.0000000000      0.0000000000       0.00000   
  CT     CT     C+     HC       	    0.0000000000  	-1.0000000000      0.0000000000      0.00000   
  CT     CT     CO     HC       	    0.0000000000  	0.0000000000      0.3000000000       0.00000   
  CT     CT     CS     CW       	    -0.7140009560  	0.0000000000      0.0000000000       0.00000   
  CT     CT     CT     F        	    0.3000000000  	0.0000000000      0.4000000000       0.00000   
  CT     CT     CT     N        	    1.9640021511  	0.0000000000      0.6589997610       0.00000   
  CT     CT     CT     S        	    2.6190021511  	-0.6200000000      0.2580007170      0.00000   
  CT     CT     CT     CT       	    1.3000000000  	-0.0500000000      0.2000000000      0.00000   
  CT     CT     CT     CU       	    -2.0600000000  	-0.3129995220      0.3150000000      0.00000   
  CT     CT     CT     Cl       	    0.0000000000  	0.0000000000      0.4000000000       0.00000   
  CT     CT     CT     HC       	    0.0000000000  	0.0000000000      0.3000000000       0.00000   
  CT     CT     CT     N2       	    2.7319980880  	-0.2290009560      0.4850000000      0.00000   
  CT     CT     CT     N3       	    2.7319980880  	-0.2290009560      0.4850000000      0.00000   
  CT     CT     CT     NA       	    2.7319980880  	-0.2290009560      0.4850000000      0.00000   
  CT     CT     CT     NC       	    2.7319980880  	-0.2290009560      0.4850000000      0.00000   
  CT     CT     CT     NT       	    2.3919980880  	-0.6739985660      0.5500000000      0.00000   
  CT     CT     CT_2   NT       	    2.3919980880  	-0.6739985660      0.5500000000      0.00000   
  CT     CT     CT     NY       	    2.7319980880  	-0.2290009560      0.4850000000      0.00000   
  CT     CT     CT     OH       	    1.7110002390  	-0.5000000000      0.6630007170      0.00000   
  CT     CT     CT     OS       	    1.7110002390  	-0.5000000000      0.6630007170      0.00000   
  CT     CT     CT     SH       	    1.2620028681  	-0.1980019120      0.4650000000      0.00000   
  CT     CT     CT     SY       	    1.2620028681  	-0.1980019120      0.4650000000      0.00000   
  CT     CT     CT     CT_2     	    1.3000000000  	-0.0500000000      0.2000000000      0.00000   
  CT     CT     CT     SY2      	    1.8759990440  	0.0000000000      0.0000000000       0.00000   
  CT     CT     CV     CW       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CT     CT     CV     NB       	    2.3659990440  	-0.2620004780      0.5050000000      0.00000   
  CT     CT     CW     NA       	    1.7000000000  	-0.6000000000      0.0000000000      0.00000   
