930  2
#  i    j    k  	     	   cth(Kcal/mol)	 th0(Deg.)     
  C_3    CS     CW        	   70.00000             130.00000      
  C      CB     CW        	   70.00000             130.00000      
  C_2    CB     CW        	   70.00000             130.00000      
  C_3    CB     CW        	   70.00000             130.00000      
  C*     CB     CA        	   85.00000             134.90000      
  CA     CB     CA        	   85.00000             134.90000      
  C*     CB     CN        	   85.00000             108.80000      
  CS     CB     CA        	   85.00000             134.90000      
  CS     CB     CN        	   85.00000             108.80000      
  CA     CB     CB        	   85.00000             117.30000      
  CA     CB     CN        	   85.00000             116.20000      
  CA     CB     NB        	   70.00000             132.40000      
  CB     CB     N*        	   70.00000             106.20000      
  CB     CB     NA        	   70.00000             106.20000      
  CS     CR     NA        	   70.00000             106.20000      
  CR     CS     CW        	   70.00000             110.40000      
  CB     CB     NC        	   70.00000             127.70000      
  CB     CB     N         	   70.00000             127.70000      
  CS     CR     NC        	   70.00000             127.70000      
  N*     CB     NC        	   70.00000             126.20000      
  NA     CB     NC        	   70.00000             126.20000      
  NB     CB     N         	   70.00000             126.20000      
  NB     CR     N         	   70.00000             126.20000      
  NA     CR     NC        	   70.00000             126.20000      
  CT     CW     CV        	   70.00000             130.70000      
  CT     CV     CW        	   70.00000             130.70000      
  CT     CX     CX        	   70.00000             130.70000      
  CT     CW     CW        	   70.00000             120.00000      
  CW     CW     NA        	   70.00000             120.00000      
  CA     CA     NA        	   70.00000             108.70000      
  N*     CK     NB        	   70.00000             113.90000      
  NA     CK     NB        	   70.00000             113.90000      
  NA     CK     H5        	   35.00000             123.05000      
  N*     CK     H5        	   35.00000             123.05000      
  NB     CK     H5        	   35.00000             123.05000      
  C      CM     C3        	   85.00000             119.70000      
  C_2    CM     C3        	   85.00000             119.70000      
  C_3    CM     C3        	   85.00000             119.70000      
  C      CM     CM        	   85.00000             120.70000      
  C_2    CM     CM        	   85.00000             120.70000      
  C_3    CM     CM        	   85.00000             120.70000      
  C      CM     CT        	   70.00000             119.70000      
  C_2    CM     CT        	   70.00000             119.70000      
  C_3    CM     CT        	   70.00000             119.70000      
  C      CA     CT        	   70.00000             119.70000      
  C_2    CA     CT        	   70.00000             119.70000      
  C_3    CA     CT        	   70.00000             119.70000      
  C      CM     HC        	   35.00000             119.70000      
  C_2    CM     HC        	   35.00000             119.70000      
  C_3    CM     HC        	   35.00000             119.70000      
  CA     CM     CM        	   85.00000             117.00000      
  CA     CM     HC        	   35.00000             123.30000      
  CM     CM     CT        	   70.00000             124.00000      
  CM     C=     C=        	   70.00000             124.00000      
  CM     C=     C         	   70.00000             118.70000      
  CM     C=     C_2       	   70.00000             118.70000      
  CM     C=     C_3       	   70.00000             118.70000      
  CM     C=     CT        	   70.00000             124.00000      
  C=     C=     CT        	   70.00000             124.00000      
  CT     CM     C=        	   70.00000             124.00000      
  CM     CT     CM        	   63.00000             112.40000      
  CM     CT     OS        	   70.00000             120.00000      
  CM     CT     OH        	   50.00000             109.50000      
  CM     CM     HC        	   35.00000             120.00000      
  CM     CM     H4        	   35.00000             119.70000      
  CM     C=     HC        	   35.00000             120.00000      
  C=     CM     HC        	   35.00000             120.00000      
  C=     C=     HC        	   35.00000             120.00000      
  C      C=     HC        	   35.00000             119.70000      
  C_2    C=     HC        	   35.00000             119.70000      
  C_3    C=     HC        	   35.00000             119.70000      
  CT     C      HC        	   35.00000             115.00000      
  CT     C_2    HC        	   35.00000             115.00000      
  CA     C      HC        	   35.00000             115.00000      
  CA     C_2    HC        	   35.00000             115.00000      
  CT     CM     HC        	   35.00000             117.00000      
  HC     CM     HC        	   35.00000             117.00000      
  CT     CM     CT        	   70.00000             130.00000      
  CT     C+     CT        	   172.79995            120.00000      
  CT     C+     HC        	   144.00000            120.00000      
  CT     CT     C+        	   63.00000             105.00000      
  HC     CT     C+        	   35.00000             105.00000      
  CM     CM     N*        	   70.00000             121.20000      
  CM     CM     NA        	   70.00000             121.20000      
  HC     CM     N*        	   35.00000             119.10000      
  HC     CM     NA        	   35.00000             119.10000      
  CA     CN     CB        	   85.00000             122.70000      
  CA     CN     NA        	   70.00000             132.80000      
  CB     CA     CW        	   63.00000             106.40000      
  CB     CA     CT        	   70.00000             128.60000      
