816  2
# name            epsilon(Kcal/mol)  sigma(Angstrom) 
 opls_912           0.06600          3.50000         
 opls_912B          0.06600          3.50000         
 opls_913           0.06600          3.50000         
 opls_914           0.06600          3.50000         
 opls_915           0.06600          3.50000         
 opls_916           0.07000          3.55000         
 opls_917           0.07000          3.55000         
 opls_918           0.07000          3.55000         
 opls_925           0.08600          3.30000         
 opls_926           0.01500          2.42000         
 opls_927           0.21000          3.30000         
 opls_928           0.13500          3.30000         
 opls_929           0.10000          3.30000         
 opls_930           0.01500          2.50000         
 opls_931           0.21000          3.30000         
 opls_940           0.17000          3.25000         
 opls_941           0.00000          0.00000         
 opls_942           0.06600          3.50000         
 opls_943           0.06600          3.50000         
 opls_944           0.06600          3.50000         
 opls_945           0.06600          3.50000         
 opls_950           0.03000          2.50000         
 opls_951           0.06600          3.50000         
 opls_952           0.10500          3.75000         
 opls_953           0.17000          3.25000         
 opls_954           0.21000          2.96000         
 opls_955           0.00000          0.00000         
 opls_956           0.06100          2.94000         
 opls_957           0.06600          3.50000         
 opls_958           0.03000          2.50000         
 opls_959           0.06600          3.50000         
 opls_960           0.06600          3.50000         
 opls_961           0.06600          3.50000         
 opls_962           0.06600          3.50000         
 opls_963           0.06600          3.50000         
 opls_964           0.09700          3.50000         
 opls_965           0.05300          2.95000         
