816 1
# name  bond_type 
 opls_736   CA  
 opls_737   CA  
 opls_738   CA  
 opls_739   CA  
 opls_740   HA  
 opls_741   HA  
 opls_742   CA  
 opls_743   N2  
 opls_744   H   
 opls_745   H   
 opls_746   HA  
 opls_747   CT  
 opls_748   CT  
 opls_749   NY  
 opls_750   NZ  
 opls_751   NY  
 opls_752   CA  
 opls_753   NZ  
 opls_754   CZ  
 opls_755   CT  
 opls_756   CT  
 opls_757   CT  
 opls_758   CT  
 opls_759   HC  
 opls_760   NO  
 opls_761   ON  
 opls_762   CT  
 opls_763   HC  
 opls_764   CT  
 opls_765   CT  
 opls_766   CT  
 opls_767   NO  
 opls_768   CA  
 opls_771   O   
 opls_772   C   
 opls_773   OS  
 opls_774   CT  
 opls_775   CT  
 opls_776   CT  
 opls_777   HC  
 opls_778   HC  
 opls_779   HC  
 opls_781   P+  
 opls_782   CT  
 opls_783   CT  
 opls_784   HC  
 opls_785   P   
 opls_786   F   
 opls_787   N   
 opls_788   O   
 opls_795   OW  
 opls_796   HW  
 opls_797   LP  
 opls_900   NT  
 opls_901   NT  
 opls_902   NT  
 opls_903   CT  
 opls_904   CT  
 opls_905   CT  
 opls_906   CT  
 opls_906B  CT_2
 opls_907   CT  
 opls_908   CT  
 opls_909   H   
 opls_910   H   
 opls_911   HC  
 opls_912   CT  
 opls_912B  CT_2
 opls_913   CT  
 opls_914   CT  
 opls_915   CT  
 opls_916   CA  
 opls_917   CA  
 opls_918   CA  
 opls_925   CZ  
 opls_926   HC  
 opls_927   CZ  
 opls_928   CZ  
 opls_929   CZ  
 opls_930   HC  
 opls_931   CZ  
 opls_940   N3  
 opls_941   H3  
 opls_942   CT  
 opls_943   CT  
 opls_944   CT  
 opls_945   CT  
 opls_950   HC  
 opls_951   CT  
 opls_952   C   
 opls_953   N3  
 opls_954   O2  
 opls_955   H3  
 opls_956   F   
 opls_957   CT  
 opls_958   HC  
 opls_959   CT  
 opls_960   CT  
 opls_961   CT  
 opls_962   CT  
 opls_963   CT  
 opls_964   CT  
 opls_965   F   
 MW_tip4pew MW
 HW_tip4pew HW  
 OW_tip4pew HW  
